frame_index,timestamp_ms,person_id,tool,schema,nose_x,nose_y,nose_confidence,left_eye_x,left_eye_y,left_eye_confidence,right_eye_x,right_eye_y,right_eye_confidence,left_ear_x,left_ear_y,left_ear_confidence,right_ear_x,right_ear_y,right_ear_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
19,633.3333333333333,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
20,666.6666666666666,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
21,700.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
22,733.3333333333333,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
23,766.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
24,800.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
25,833.3333333333334,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
26,866.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
27,900.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
28,933.3333333333334,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
29,966.6666666666666,0,mediapipe,coco17,970.5229568481445,804.9534773826599,0.9802545309066772,965.8156585693359,810.9845209121704,0.9792627692222595,976.2162780761719,810.6242251396179,0.9807634949684143,962.449951171875,812.3725962638855,0.9578536152839661,982.716178894043,810.4753947257996,0.9746310710906982,956.4573097229004,813.1702423095703,0.890883207321167,998.9702224731445,827.4645924568176,0.9389545321464539,939.7913932800293,916.7179727554321,0.7253881096839905,1024.7732162475586,922.8299975395203,0.712142288684845,946.2731552124023,976.0484576225281,0.6546778082847595,1021.9972229003906,974.6927618980408,0.755078136920929,951.7443466186523,724.4948673248291,0.9782923460006714,962.3854064941406,746.3955330848694,0.9811896085739136,965.7100296020508,818.7387013435364,0.6864969730377197,973.6800384521484,843.1660079956055,0.4565918743610382,973.3927917480469,966.0282182693481,0.6341549754142761,979.0295791625977,967.0311498641968,0.4119548201560974
30,1000.0,0,mediapipe,coco17,960.7550811767578,775.8534622192383,0.9658845067024231,961.4562606811523,776.3367748260498,0.9658108353614807,961.5085601806641,777.066957950592,0.9634642004966736,962.5035095214844,780.4269075393677,0.9446535110473633,965.566291809082,781.0425066947937,0.9556286334991455,962.0989608764648,800.6686806678772,0.8866918087005615,984.3387222290039,802.1520924568176,0.9284471273422241,944.8619842529297,915.9687995910645,0.7133506536483765,995.0926208496094,902.3831963539124,0.707931399345398,946.8613243103027,974.3774628639221,0.6346468329429626,1011.2416076660156,967.0839357376099,0.7483469247817993,953.1397819519043,719.5694947242737,0.9790966510772705,956.0745620727539,730.1210045814514,0.9816851615905762,991.5671539306641,818.3677196502686,0.6703467965126038,992.9208755493164,827.9268550872803,0.4635775089263916,1001.3129425048828,968.027708530426,0.6516825556755066,995.2031707763672,963.4836173057556,0.4339537024497986
31,1033.3333333333335,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
32,1066.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
33,1100.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
34,1133.3333333333333,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
35,1166.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
36,1200.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
37,1233.3333333333335,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
38,1266.6666666666665,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
39,1300.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
40,1333.3333333333333,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
41,1366.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
42,1400.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
43,1433.3333333333333,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
44,1466.6666666666665,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
45,1500.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
46,1533.3333333333335,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
47,1566.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
